acteurs,date,description,durée,genre,original_title,public,score,title
"Timothy Olyphant,Ian McShane,Molly Parker",2004–2006,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",55,Crime,,TV-MA,8.6,Deadwood
,1995–1998,"Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.",25,Comedy,,TV-14,8.7,Father Ted
"Naveen Kasturia,Shivankit Singh Parihar,Abhilash Thapliyal",2021– ,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,Cheesenaan,Drama,,,9.2,Aspirants
"Sam Elliott,Tim McGraw,Faith Hill",2021–2022,Follows the Dutton family as they embark on a journey west.,1,Drama,,TV-MA,8.8,1883
"Martin Compston,Vicky McClure,Adrian Dunbar",2012–2021,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",1,Crime,,TV-14,8.7,Line of Duty
,1988–1990,,45,Adventure,,TV-14,9.0,Mahabharat
"George Newbern,Kevin Conroy,Phil LaMarr",2004–2006,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,23,Animation,,TV-Y7-FV,8.7,Justice League Unlimited
"Chris Addison,James Smith,Peter Capaldi",2005–2012,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.,29,Comedy,,TV-MA,8.7,The Thick of It
"Claire Foy,Olivia Colman,Imelda Staunton",2016– ,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,58,Biography,,TV-MA,8.7,The Crown
,2016– ,"Follow Jeremy, Richard and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",1,Comedy,,TV-14,8.7,The Grand Tour
"Marc Diraison,Nobutoshi Canna,Carrie Keranen",1997–1998,"Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.",23,Animation,,TV-14,8.7,Berserk
,2002– ,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",1,Adventure,,TV-PG,8.7,Top Gear
"Kyle Chandler,Connie Britton,Zach Gilford",2006–2011,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",44,Drama,,TV-14,8.7,Friday Night Lights
"Kevin Spacey,Michel Gill,Robin Wright",2013–2018,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,51,Drama,,TV-MA,8.7,House of Cards
"Jeremy Brett,David Burke,Rosalie Williams",1984–1985,"Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.",1,Crime,,TV-PG,8.7,The Adventures of Sherlock Holmes
"Patrick Stewart,Brent Spiner,Jonathan Frakes",1987–1994,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.",44,Action,,TV-PG,8.7,Star Trek: The Next Generation
"Rachel Brosnahan,Alex Borstein,Michael Zegen",2017– ,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?",57,Comedy,,TV-MA,8.7,The Marvelous Mrs. Maisel
"David Mitchell,Robert Webb,Matt King",2003–2015,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,25,Comedy,,TV-MA,8.7,Peep Show
"Adam Scott,Zach Cherry,Britt Lower",2022– ,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",55,Drama,,TV-MA,8.7,Severance
,2019– ,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,24,Animation,,TV-MA,8.8,Vinland Saga
"Jon Hamm,Elisabeth Moss,Vincent Kartheiser",2007–2015,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",47,Drama,,TV-MA,8.7,Mad Men
,2020– ,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.",35,Comedy,,TV-14,8.9,Panchayat
,2004–2017,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background.",30,Comedy,,TV-PG,9.0,Sarabhai V/S Sarabhai
"Steven Yeun,J.K. Simmons,Sandra Oh",2021– ,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,50,Animation,,TV-MA,8.7,Invincible
"Jameel Khan,Geetanjali Kulkarni,Vaibhav Raj Gupta",2019– ,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.",Cheesenaan,Comedy,,,9.1,Gullak
"Hugh Bonneville,Phyllis Logan,Elizabeth McGovern",2010–2015,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,58,Drama,,TV-PG,8.7,Downton Abbey
,2016– ,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",51,Drama,,TV-14,8.7,Stranger Things
"Edward James Olmos,Mary McDonnell,Jamie Bamber",2004–2009,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",44,Action,,TV-14,8.7,Battlestar Galactica
"Hugh Laurie,Omar Epps,Robert Sean Leonard",2004–2012,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,44,Drama,,TV-14,8.7,House
"Michael Chiklis,Jay Karnes,Michael Jace",2002–2008,Drama series following the lives and cases of dirty cop Vic Mackey and the LAPD unit under his command.,47,Crime,,TV-MA,8.7,The Shield
"Phoebe Waller-Bridge,Sian Clifford,Olivia Colman",2016–2019,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,27,Comedy,,TV-MA,8.7,Fleabag
"Dan Castellaneta,Nancy Cartwright,Harry Shearer",1989– ,The satiric adventures of a working-class family in the misfit city of Springfield.,22,Animation,,TV-14,8.7,The Simpsons
,2015–2019,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",24,Animation,,TV-PG,8.7,One Punch Man
"Karl Urban,Jack Quaid,Antony Starr",2019– ,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,1,Action,,TV-MA,8.7,The Boys
"Jason Bateman,Michael Cera,Portia de Rossi",2003–2019,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",22,Comedy,,TV-14,8.7,Arrested Development
,2011–2015,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",24,Animation,,TV-14,8.8,Steins;Gate
"Pedro Pascal,Carl Weathers,Giancarlo Esposito",2019– ,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",40,Action,,TV-14,8.7,The Mandalorian
"Louis Hofmann,Karoline Eichhorn,Lisa Vicari",2017–2020,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",1,Crime,,TV-MA,8.7,Dark
"Mayur More,Jitendra Kumar,Ranjan Raj",2019–2021,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",45,Comedy,,TV-14,9.1,Kota Factory
"Elijah Wood,Collin Dean,Melanie Lynskey",2014,Two brothers find themselves lost in a mysterious land and try to find their way home.,22,Animation,,TV-PG,8.8,Over the Garden Wall
"Ernie Hudson,J.K. Simmons,Lee Tergesen",1997–2003,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,55,Crime,,TV-MA,8.7,Oz
"Jason Sudeikis,Brett Goldstein,Brendan Hunt",2020– ,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.",30,Comedy,,TV-MA,8.8,Ted Lasso
"Cillian Murphy,Paul Anderson,Sophie Rundle",2013–2022,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",1,Crime,,TV-MA,8.8,Peaky Blinders
"Peter Krause,Michael C. Hall,Frances Conroy",2001–2005,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,1,Comedy,,TV-MA,8.7,Six Feet Under
"Kevin McKidd,Ray Stevenson,Polly Walker",2005–2007,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,52,Action,,TV-MA,8.7,Rome
"Trey Parker,Matt Stone,Isaac Hayes",1997– ,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",22,Animation,,TV-14,8.7,South Park
"Mayumi Tanaka,Laurent Vernin,Tony Beck",1999– ,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",24,Animation,,TV-14,8.9,One Piece
,1976,"The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.",669,Biography,,Not Rated,8.9,"I, Claudius"
,1989–1996,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.",24,Animation,,TV-PG,8.8,Dragon Ball Z
,1989–1996,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.",24,Animation,,TV-PG,8.8,Dragon Ball Z
"Dave Chappelle,Donnell Rawlings,Rudy Rush",2003–2006,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,22,Comedy,,TV-MA,8.8,Chappelle's Show
"Nicholas Braun,Peter Friedman,Matthew Macfadyen",2018– ,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",1,Drama,,TV-MA,8.8,Succession
"Will Arnett,Amy Sedaris,Alison Brie",2014–2020,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",25,Animation,,TV-MA,8.8,BoJack Horseman
"Pedro Pascal,Wagner Moura,Boyd Holbrook",2015–2017,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",49,Biography,,TV-MA,8.8,Narcos
,2021– ,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,Cheesenaan,Comedy,,,9.0,As If
"Daniel Lapaine,Hannah John-Kamen,Michaela Coel",2011–2019,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",1,Drama,,TV-MA,8.8,Black Mirror
"Kyle MacLachlan,Michael Ontkean,Mädchen Amick",1990–1991,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,47,Crime,,TV-MA,8.8,Twin Peaks
,1989,,175,Comedy,,TV-PG,8.8,Blackadder Goes Forth
"Linda Cardellini,John Francis Daley,James Franco",1999–2000,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,44,Comedy,,TV-14,8.8,Freaks and Geeks
,2011–2023,,80,Adventure,,TV-PG,9.1,Leyla and Mecnun
,1975–1979,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",30,Comedy,,TV-PG,8.8,Fawlty Towers
,1995,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",327,Drama,,TV-PG,8.8,Pride and Prejudice
"Martin Sheen,Rob Lowe,Allison Janney",1999–2006,Inside the lives of staffers in the West Wing of the White House.,44,Drama,,TV-14,8.9,The West Wing
"Larry David,Cheryl Hines,Jeff Garlin",2000– ,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,28,Comedy,,TV-MA,8.8,Curb Your Enthusiasm
,1985,,293,Drama,,TV-MA,8.9,Das Boot
,2015– ,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.",47,Comedy,,TV-14,9.0,Taskmaster
"Charlie Day,Rob McElhenney,Kaitlin Olson",2005– ,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,22,Comedy,,TV-MA,8.8,It's Always Sunny in Philadelphia
"Graham Chapman,John Cleese,Terry Gilliam",1969–1974,The original surreal sketch comedy showcase for the Monty Python troupe.,30,Comedy,,TV-14,8.8,Monty Python's Flying Circus
,2009,"This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.",312,Documentary,,TV-MA,9.0,Apocalypse: The Second World War
,2013,,6,Documentary,,TV-PG,9.0,Africa
"Naveen Kasturia,Arunabh Kumar,Jitendra Kumar",2015–2022,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,40,Comedy,,TV-MA,9.1,TVF Pitchers
"Jennifer Aniston,Courteney Cox,Lisa Kudrow",1994–2004,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,22,Comedy,,TV-14,8.9,Friends
,2014– ,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,30,Comedy,,TV-MA,8.9,Last Week Tonight with John Oliver
"Asante Blackk,Caleel Harris,Ethan Herisse",2019,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,296,Biography,,TV-MA,8.9,When They See Us
"Jason Ritter,Alex Hirsch,Kristen Schaal",2012–2016,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",23,Animation,,TV-Y7,8.9,Gravity Falls
"Nathan Fielder,Anthony Filosa,Salomon Flores",2013–2017,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.",30,Documentary,,TV-14,8.9,Nathan for You
,2021– ,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,45,Documentary,,TV-PG,9.0,Clarkson's Farm
"Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara",1998–1999,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,24,Animation,,TV-14,8.9,Cowboy Bebop
"Billy Bob Thornton,Martin Freeman,Allison Tolman",2014– ,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",53,Crime,,TV-MA,8.9,Fargo
,2018,A man diagnosed with Alzheimer's decides to punish criminals.,65,Crime,,TV-MA,9.0,Persona
,1989–1990,"Ten television drama films, each one based on one of the Ten Commandments.",572,Drama,,TV-MA,9.0,Dekalog
,2021,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',468,Documentary,,PG-13,9.0,The Beatles: Get Back
"Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards",1989–1998,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,22,Comedy,,TV-PG,8.9,Seinfeld
"Bob Odenkirk,Rhea Seehorn,Jonathan Banks",2015–2022,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,46,Crime,,TV-MA,8.9,Better Call Saul
"Vince Vaughn,Colin Farrell,Rachel McAdams",2014–2019,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",55,Crime,,TV-MA,8.9,True Detective
,1990,A comprehensive survey of the American Civil War.,680,Documentary,,TV-14,9.1,The Civil War
"David Jason,Nicholas Lyndhurst,Roger Lloyd Pack",1981–2003,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,95,Comedy,,TV-PG,9.0,Only Fools and Horses
,2009,David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evolutionary groups of creatures.,473,Documentary,,TV-G,9.1,Life
,2020,"Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",491,Documentary,,TV-MA,9.1,The Last Dance
"Kent Williams,Iemasa Kayumi,Matthew Leonhart",2009–2010,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,24,Animation,,TV-14,9.1,Fullmetal Alchemist: Brotherhood
,1973–1974,,52,Documentary,,TV-PG,9.2,The World at War
"Justin Roiland,Chris Parnell,Spencer Grammer",2013– ,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,23,Animation,,TV-14,9.1,Rick and Morty
"Emilia Clarke,Peter Dinklage,Kit Harington",2011–2019,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",57,Action,,TV-MA,9.2,Game of Thrones
,2019,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",403,Documentary,,TV-G,9.3,Our Planet
"Carl Sagan,Jaromír Hanzlík,Jonathan Fahn",1980,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,13,Documentary,,TV-PG,9.3,Cosmos
"James Gandolfini,Lorraine Bracco,Edie Falco",1999–2007,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",55,Crime,,TV-MA,9.2,The Sopranos
,2014,An exploration of our discovery of the laws of nature and coordinates in space and time.,557,Documentary,,TV-PG,9.3,Cosmos: A Spacetime Odyssey
"Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman",2005–2008,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",23,Animation,,TV-Y7-FV,9.3,Avatar: The Last Airbender
,2017–2022,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",364,Documentary,,TV-G,9.3,Blue Planet II
"Dominic West,Lance Reddick,Sonja Sohn",2002–2008,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",59,Crime,,TV-MA,9.3,The Wire
"Jessie Buckley,Jared Harris,Stellan Skarsgård",2019,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.",330,Drama,,TV-MA,9.4,Chernobyl
,2001,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",594,Drama,,TV-MA,9.4,Band of Brothers
,2006,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.",538,Documentary,,TV-PG,9.4,Planet Earth
"Bryan Cranston,Aaron Paul,Anna Gunn",2008–2013,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,49,Crime,,TV-MA,9.5,Breaking Bad
