acteurs,date,description,durée,genre,original_title,public,score,title
"Richard Belzer,Clark Johnson,Yaphet Kotto",1993–1999,Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,1,Crime,,TV-14,8.7,Homicide: Life on the Street
,1999–2001,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",25,Action,,TV-14,8.6,Spaced
"Christopher McCulloch,James Urbaniak,Doc Hammer",2003–2018,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.",22,Animation,,TV-MA,8.6,The Venture Bros.
,2000–2004,,30,Comedy,,TV-14,8.6,Coupling
,1995–2003,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.",24,Animation,,TV-14,8.6,Dragon Ball
,1986–1989,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",24,Animation,,TV-14,8.6,Dragon Ball
,2022– ,,25,Animation,,TV-MA,8.8,Chainsaw Man
"Carl Lumbly,Phil LaMarr,Michael Rosenbaum",2001–2004,Seven of the most formidable heroes form arguably the most powerful team ever.,22,Animation,,TV-PG,8.6,Justice League
"Jemaine Clement,Bret McKenzie,Rhys Darby",2007–2009,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",28,Comedy,,TV-MA,8.6,Flight of the Conchords
,2011– ,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",30,Comedy,,TV-14,8.6,Impractical Jokers
"Miles Teller,Matthew Goode,Dan Fogler",2022,Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,586,Biography,,TV-MA,8.7,The Offer
"Anya Taylor-Joy,Chloe Pirrie,Bill Camp",2020,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",1,Drama,,TV-MA,8.6,The Queen's Gambit
,2019– ,Docuseries following the FIA Formula One World Championship across multiple seasons.,40,Documentary,,TV-MA,8.6,Formula 1: Drive to Survive
,2019–2020,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,70,Adventure,,TV-14,8.7,Crash Landing on You
"Michaela Jaé (MJ) Rodriguez,Dominique Jackson,Indya Moore",2018–2021,"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.",1,Drama,,TV-MA,8.6,Pose
,1960–1975,,30,Animation,,TV-G,8.6,The Bugs Bunny Show
"Michiel Huisman,Carla Gugino,Henry Thomas",2018,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",572,Drama,,TV-MA,8.6,The Haunting of Hill House
"Jeff Daniels,Emily Mortimer,John Gallagher Jr.",2012–2014,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",55,Drama,,TV-MA,8.6,The Newsroom
"Eric André,Hannibal Buress,Tom Ato",2012– ,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",11,Comedy,,TV-MA,8.6,The Eric Andre Show
"Steve Buscemi,Kelly Macdonald,Michael Shannon",2010–2014,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,55,Crime,,TV-MA,8.6,Boardwalk Empire
"Timothy Olyphant,Nick Searcy,Joelle Carter",2010–2015,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",44,Action,,TV-MA,8.6,Justified
,2015–2018,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",1,Documentary,,TV-14,8.6,Making a Murderer
,1980–1984,"The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.",30,Comedy,,TV-PG,8.7,Yes Minister
,1989–2013,"The cases of eccentric, but sharp, Belgian detective Hercule Poirot.",100,Crime,,TV-14,8.6,Poirot
"Rowan Atkinson,Robin Driscoll,Matilda Ziegler",1990–1995,"Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.",25,Comedy,,TV-G,8.6,Mr. Bean
"Michael Keaton,Peter Sarsgaard,Michael Stuhlbarg",2021,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.",492,Drama,,TV-MA,8.6,Dopesick
"Amybeth McNulty,Geraldine James,R.H. Thomson",2017–2019,"The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.",1,Drama,,TV-PG,8.7,Anne with an E
"Nathan Fielder,Journey Baker,Anna Lamadrid",2022– ,Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,30,Documentary,,TV-MA,8.7,The Rehearsal
,2003– ,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.",30,Comedy,,TV-PG,8.6,QI
"Ayumu Murase,Kaito Ishikawa,Yu Hayashi",2014–2020,"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.",24,Animation,,TV-14,8.7,Haikyu!!
,2015– ,"A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.",3,Adventure,,TV-14,9.3,Critical Role
"Jonathan Groff,Holt McCallany,Anna Torv",2017–2019,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",1,Crime,,TV-MA,8.6,Mindhunter
"Vishesh Bansal,Mona Singh,Akarsh Khurana",2018,Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,30,Comedy,,TV-14,9.0,Yeh Meri Family
,1987,,3,Comedy,,TV-PG,8.6,Blackadder the Third
"Salvatore Esposito,Marco D'Amore,Ivana Lotito",2014–2021,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,55,Crime,,TV-MA,8.7,Gomorrah
"Jeremy Brett,Edward Hardwicke,Rosalie Williams",1986–1988,,1,Crime,,TV-PG,8.7,The Return of Sherlock Holmes
,1989,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,384,Adventure,,TV-14,8.7,Lonesome Dove
"Masakazu Morita,Takayuki Sugô,Binbin Takaoka",2022– ,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.",24,Animation,,TV-MA,9.4,Bleach: Thousand-Year Blood War
"Nolan North,Danica McKellar,Jesse McCartney",2010–2022,Teenage superheroes strive to prove themselves as members of the Justice League.,23,Animation,,TV-PG,8.7,Young Justice
"John DiMaggio,Jeremy Shada,Tom Kenny",2010–2018,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.",11,Animation,,TV-PG,8.6,Adventure Time
"Kevin Costner,Luke Grimes,Kelly Reilly",2018– ,A ranching family in Montana faces off against others encroaching on their land.,1,Drama,,TV-MA,8.7,Yellowstone
,2004–2005,A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.,24,Animation,,TV-14,8.7,Monster
"Arun Govil,Deepika Chikhalia,Sunil Lahri",1987–1988,,30,Adventure,,TV-14,9.0,Ramayan
"Joel Hodgson,Michael J. Nelson,Trace Beaulieu",1988–1999,"In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.",92,Comedy,,TV-14,8.7,Mystery Science Theater 3000
"H. Jon Benjamin,Judy Greer,Amber Nash",2009– ,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,22,Animation,,TV-MA,8.6,Archer
"Joe Locke,Kit Connor,Yasmin Finney",2022– ,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,30,Drama,,TV-14,8.7,Heartstopper
"Olly Alexander,Nathaniel Curtis,Shaun Dooley",2021,"A chronicle of four friends during a decade in which everything changed, including the rise of AIDS.",239,Comedy,,TV-MA,8.7,It's a Sin
,2019– ,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",24,Animation,,TV-MA,8.7,Demon Slayer: Kimetsu no Yaiba
"Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll",2015–2018,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",54,Action,,TV-MA,8.6,Daredevil
