acteurs,actors,date,description,duree,durée,genre,original_title,public,score,title
"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi",,1988,A young boy and his little sister struggle to survive in Japan during World War II.,89,,Animation,,Not Rated,8.5,Grave of the Fireflies
"Tatsuya Nakadai,Akira Ishihama,Shima Iwashita",,1962,,133,,Action,,Not Rated,8.6,Harakiri
"Humphrey Bogart,Ingrid Bergman,Paul Henreid",,1942,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,102,,Drama,,PG,8.5,Casablanca
"Miles Teller,J.K. Simmons,Melissa Benoist",,2014,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,106,,Drama,,R,8.5,Whiplash
"Christian Bale,Hugh Jackman,Scarlett Johansson",,2006,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",130,,Drama,,PG-13,8.5,The Prestige
"Kevin Spacey,Gabriel Byrne,Chazz Palminteri",,1995,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",106,,Crime,,R,8.5,The Usual Suspects
"Leonardo DiCaprio,Matt Damon,Jack Nicholson",,2006,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,151,,Crime,,R,8.5,The Departed
"Edward Norton,Edward Furlong,Beverly D'Angelo",,1998,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,119,,Crime,,R,8.5,American History X
"Russell Crowe,Joaquin Phoenix,Connie Nielsen",,2000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,155,,Action,,R,8.5,Gladiator
"James Stewart,Donna Reed,Lionel Barrymore",,1946,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,130,,Drama,,PG,8.6,It's a Wonderful Life
"Toshirô Mifune,Takashi Shimura,Keiko Tsushima",,1954,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",207,,Action,,Not Rated,8.6,Seven Samurai
"Morgan Freeman,Brad Pitt,Kevin Spacey",,1995,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",127,,Crime,,R,8.6,Se7en
"Jack Nicholson,Louise Fletcher,Michael Berryman",,1975,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",133,,Drama,,R,8.7,One Flew Over the Cuckoo's Nest
"Robert De Niro,Ray Liotta,Joe Pesci",,1990,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",145,,Biography,,R,8.7,Goodfellas
"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",,1999,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",136,,Action,,R,8.7,The Matrix
"Mark Hamill,Harrison Ford,Carrie Fisher",,1980,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",124,,Action,,PG,8.7,Star Wars: Episode V - The Empire Strikes Back
"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page",,2010,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",148,,Action,,PG-13,8.8,Inception
"Elijah Wood,Ian McKellen,Viggo Mortensen",,2002,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",179,,Action,,PG-13,8.8,The Lord of the Rings: The Two Towers
"Brad Pitt,Edward Norton,Meat Loaf",,1999,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,139,,Drama,,R,8.8,Fight Club
"Tom Hanks,Robin Wright,Gary Sinise",,1994,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",142,,Drama,,PG-13,8.8,Forrest Gump
"Clint Eastwood,Eli Wallach,Lee Van Cleef",,1966,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,178,,Adventure,,R,8.8,"The Good, the Bad and the Ugly"
"Elijah Wood,Ian McKellen,Orlando Bloom",,2001,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,178,,Action,,PG-13,8.8,The Lord of the Rings: The Fellowship of the Ring
"John Travolta,Uma Thurman,Samuel L. Jackson",,1994,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",154,,Crime,,R,8.9,Pulp Fiction
"Elijah Wood,Viggo Mortensen,Ian McKellen",,2003,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,201,,Action,,PG-13,9.0,The Lord of the Rings: The Return of the King
"Liam Neeson,Ralph Fiennes,Ben Kingsley",,1993,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",195,,Biography,,R,9.0,Schindler's List
"Henry Fonda,Lee J. Cobb,Martin Balsam",,1957,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,96,,Crime,,Approved,9.0,12 Angry Men
"Al Pacino,Robert De Niro,Robert Duvall",,1974,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",202,,Crime,,R,9.0,The Godfather Part II
"Christian Bale,Heath Ledger,Aaron Eckhart",,2008,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",152,,Action,,PG-13,9.0,The Dark Knight
"Marlon Brando,Al Pacino,James Caan",,1972,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,175,,Crime,,R,9.2,The Godfather
