acteurs,actors,date,description,duree,durée,genre,original_title,public,score,title
"Daniel Day-Lewis,Paul Dano,Ciarán Hinds",,2007,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",158,,Drama,,R,8.2,There Will Be Blood
"Clint Eastwood,Gene Hackman,Morgan Freeman",,1992,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",130,,Drama,,R,8.2,Unforgiven
"Ivana Baquero,Ariadna Gil,Sergi López",,2006,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",118,,Drama,,R,8.2,Pan's Labyrinth
"Robert De Niro,Sharon Stone,Joe Pesci",,1995,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",178,,Crime,,R,8.2,Casino
"Tatsuya Nakadai,Akira Terao,Jinpachi Nezu",,1985,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",162,,Action,,R,8.2,Ran
"Spencer Tracy,Burt Lancaster,Richard Widmark",,1961,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",179,,Drama,,Approved,8.3,Judgment at Nuremberg
"Leonardo DiCaprio,Jonah Hill,Margot Robbie",,2013,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",3,,Biography,,R,8.2,The Wolf of Wall Street
"Viggo Mortensen,Mahershala Ali,Linda Cardellini",,2018,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,130,,Biography,,PG-13,8.2,Green Book
"Bette Davis,Anne Baxter,George Sanders",,1950,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,138,,Drama,,Passed,8.2,All About Eve
"Anthony Hopkins,Olivia Colman,Mark Gatiss",,2020,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",97,,Drama,,PG-13,8.2,The Father
"Marilyn Monroe,Tony Curtis,Jack Lemmon",,1959,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",121,,Comedy,,Passed,8.2,Some Like It Hot
"Charles Chaplin,Edna Purviance,Jackie Coogan",,1921,,68,,Comedy,,Passed,8.3,The Kid
"Christian Bale,Michael Caine,Ken Watanabe",,2005,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",140,,Action,,PG-13,8.2,Batman Begins
"Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh",,2016,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,161,,Action,,Not Rated,8.3,Dangal
"Clint Eastwood,Lee Van Cleef,Gian Maria Volontè",,1965,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,132,,Western,,R,8.2,For a Few Dollars More
"Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes",,2004,,156,,Biography,,R,8.2,Downfall
"Dean-Charles Chapman,George MacKay,Daniel Mays",,2019,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",119,,Action,,R,8.2,1917
"Darsheel Safary,Aamir Khan,Tisca Chopra",,2007,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",165,,Drama,,PG,8.4,Like Stars on Earth
"Harrison Ford,Sean Connery,Alison Doody",,1989,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",127,,Action,,PG-13,8.2,Indiana Jones and the Last Crusade
"Lamberto Maggiorani,Enzo Staiola,Lianella Carell",,1948,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",89,,Drama,,Not Rated,8.3,Bicycle Thieves
"Jason Statham,Brad Pitt,Stephen Graham",,2000,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",102,,Comedy,,R,8.2,Snatch
"Bruce Willis,Alan Rickman,Bonnie Bedelia",,1988,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,132,,Action,,R,8.2,Die Hard
"Kevin Spacey,Russell Crowe,Guy Pearce",,1997,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",138,,Crime,,R,8.2,L.A. Confidential
"Brigitte Helm,Alfred Abel,Gustav Fröhlich",,1927,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",153,,Drama,,Not Rated,8.3,Metropolis
"Payman Maadi,Leila Hatami,Sareh Bayat",,2011,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,123,,Drama,,PG-13,8.3,A Separation
"Robert De Niro,Jodie Foster,Cybill Shepherd",,1976,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",114,,Crime,,R,8.2,Taxi Driver
"Al Pacino,Robert De Niro,Val Kilmer",,1995,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,170,,Action,,R,8.3,Heat
"Edward Asner,Jordan Nagai,John Ratzenberger",,2009,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",96,,Animation,,PG,8.3,Up
"Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette",,2010,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,131,,Drama,,R,8.3,Incendies
"Paul Newman,Robert Redford,Robert Shaw",,1973,Two grifters team up to pull off the ultimate con.,129,,Comedy,,PG,8.3,The Sting
"Gregory Peck,John Megna,Frank Overton",,1962,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.",129,,Crime,,Approved,8.3,To Kill a Mockingbird
"Al Pacino,Michelle Pfeiffer,Steven Bauer",,1983,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",170,,Crime,,R,8.3,Scarface
"Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.",,2020,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",160,,Biography,,PG-13,8.4,Hamilton
"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio",,1987,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,116,,Drama,,R,8.3,Full Metal Jacket
"Fred MacMurray,Barbara Stanwyck,Edward G. Robinson",,1944,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",107,,Crime,,Passed,8.3,Double Indemnity
"Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori",,1952,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,143,,Drama,,Not Rated,8.3,Ikiru
"Jack Lemmon,Shirley MacLaine,Fred MacMurray",,1960,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",125,,Comedy,,Approved,8.3,The Apartment
"Malcolm McDowell,Patrick Magee,Michael Bates",,1971,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",136,,Crime,,X,8.3,A Clockwork Orange
"Audrey Tautou,Mathieu Kassovitz,Rufus",,2001,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",122,,Comedy,,R,8.3,Amélie
"James Stewart,Kim Novak,Barbara Bel Geddes",,1958,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",128,,Mystery,,PG,8.3,Vertigo
